expected,acc,given,rt,subj,folder,item,dependency
l,1,l,2559,1,10.3,18,adjacent
k,0,l,712,1,10.3,15,adjacent
k,0,l,111,1,10.3,10,non-adjacent
k,0,l,683,1,10.3,6,non-adjacent
l,1,l,899,1,10.3,16,adjacent
l,1,l,374,1,10.3,3,non-adjacent
l,1,l,760,1,10.3,5,non-adjacent
k,1,k,1819,1,10.3,19,adjacent
l,0,k,2849,1,10.3,1,non-adjacent
k,0,l,2887,1,10.3,13,adjacent
l,1,l,2163,1,10.3,7,non-adjacent
k,0,l,1428,1,10.3,11,adjacent
k,0,l,1568,1,10.3,4,non-adjacent
k,0,l,1250,1,10.3,8,non-adjacent
l,1,l,649,1,10.3,14,adjacent
k,0,l,1342,1,10.3,2,non-adjacent
l,1,l,954,1,10.3,9,non-adjacent
l,1,l,1110,1,10.3,20,adjacent
k,0,l,1419,1,10.3,17,adjacent
l,1,l,763,1,10.3,12,adjacent
l,0,k,432,11,10.3,12,adjacent
k,0,l,2072,11,10.3,6,non-adjacent
l,1,l,238,11,10.3,7,non-adjacent
k,0,l,1180,11,10.3,8,non-adjacent
l,1,l,959,11,10.3,5,non-adjacent
k,1,k,1038,11,10.3,2,non-adjacent
l,0,k,2085,11,10.3,18,adjacent
k,1,k,1266,11,10.3,11,adjacent
k,1,k,1592,11,10.3,19,adjacent
k,0,l,1528,11,10.3,4,non-adjacent
l,0,k,404,11,10.3,1,non-adjacent
l,1,l,893,11,10.3,14,adjacent
l,1,l,666,11,10.3,9,non-adjacent
k,1,k,649,11,10.3,15,adjacent
l,0,k,497,11,10.3,16,adjacent
l,1,l,895,11,10.3,20,adjacent
k,1,k,572,11,10.3,17,adjacent
l,0,k,534,11,10.3,3,non-adjacent
k,0,l,475,11,10.3,10,non-adjacent
k,1,k,1082,11,10.3,13,adjacent
k,0,l,342,13,10.3,4,non-adjacent
l,1,l,595,13,10.3,7,non-adjacent
k,0,l,445,13,10.3,10,non-adjacent
l,1,l,421,13,10.3,20,adjacent
k,0,l,374,13,10.3,11,adjacent
l,1,l,554,13,10.3,5,non-adjacent
k,0,l,606,13,10.3,17,adjacent
l,1,l,511,13,10.3,18,adjacent
k,0,l,853,13,10.3,6,non-adjacent
l,1,l,916,13,10.3,12,adjacent
k,0,l,416,13,10.3,2,non-adjacent
l,0,k,1128,13,10.3,14,adjacent
l,1,l,845,13,10.3,16,adjacent
l,1,l,919,13,10.3,9,non-adjacent
l,1,l,419,13,10.3,1,non-adjacent
k,0,l,1421,13,10.3,8,non-adjacent
k,0,l,302,13,10.3,15,adjacent
l,0,k,476,13,10.3,3,non-adjacent
k,0,l,723,13,10.3,13,adjacent
k,0,l,703,13,10.3,19,adjacent
k,1,k,15273,15,10.3,13,adjacent
l,1,l,4259,15,10.3,18,adjacent
k,0,l,535,15,10.3,19,adjacent
l,0,k,284,15,10.3,5,non-adjacent
l,1,l,2882,15,10.3,12,adjacent
l,0,k,311,15,10.3,1,non-adjacent
l,1,l,1883,15,10.3,3,non-adjacent
k,1,k,280,15,10.3,4,non-adjacent
l,0,k,911,15,10.3,7,non-adjacent
k,1,k,260,15,10.3,10,non-adjacent
l,1,l,243,15,10.3,14,adjacent
l,0,k,1219,15,10.3,9,non-adjacent
k,1,k,253,15,10.3,8,non-adjacent
l,1,l,204,15,10.3,16,adjacent
k,0,l,4031,15,10.3,15,adjacent
l,0,k,243,15,10.3,20,adjacent
k,0,l,1036,15,10.3,2,non-adjacent
k,1,k,770,15,10.3,6,non-adjacent
k,1,k,845,15,10.3,11,adjacent
k,1,k,3124,15,10.3,17,adjacent
l,0,k,1318,17,10.3,3,non-adjacent
l,1,l,423,17,10.3,5,non-adjacent
l,1,l,413,17,10.3,12,adjacent
k,0,l,700,17,10.3,4,non-adjacent
k,1,k,2608,17,10.3,15,adjacent
l,0,k,493,17,10.3,20,adjacent
k,0,l,431,17,10.3,13,adjacent
l,0,k,478,17,10.3,16,adjacent
l,1,l,1282,17,10.3,1,non-adjacent
l,0,k,861,17,10.3,9,non-adjacent
k,1,k,338,17,10.3,19,adjacent
l,0,k,467,17,10.3,14,adjacent
k,0,l,552,17,10.3,2,non-adjacent
l,0,k,546,17,10.3,18,adjacent
k,0,l,924,17,10.3,8,non-adjacent
k,1,k,605,17,10.3,11,adjacent
l,1,l,444,17,10.3,7,non-adjacent
k,1,k,497,17,10.3,10,non-adjacent
k,0,l,300,17,10.3,17,adjacent
k,1,k,448,17,10.3,6,non-adjacent
l,1,l,341,19,10.3,18,adjacent
l,0,k,1817,19,10.3,9,non-adjacent
l,0,k,232,19,10.3,5,non-adjacent
l,0,k,648,19,10.3,14,adjacent
k,1,k,327,19,10.3,15,adjacent
k,0,l,1380,19,10.3,4,non-adjacent
k,0,l,2173,19,10.3,6,non-adjacent
k,1,k,620,19,10.3,10,non-adjacent
k,1,k,540,19,10.3,19,adjacent
k,1,k,504,19,10.3,2,non-adjacent
l,1,l,214,19,10.3,7,non-adjacent
l,0,k,247,19,10.3,16,adjacent
k,1,k,911,19,10.3,13,adjacent
l,1,l,2220,19,10.3,20,adjacent
l,0,k,1915,19,10.3,12,adjacent
k,1,k,1062,19,10.3,17,adjacent
l,1,l,709,19,10.3,1,non-adjacent
l,1,l,787,19,10.3,3,non-adjacent
k,1,k,541,19,10.3,8,non-adjacent
k,1,k,224,19,10.3,11,adjacent
l,1,l,6833,21,10.3,5,non-adjacent
l,1,l,2108,21,10.3,16,adjacent
k,0,l,3974,21,10.3,10,non-adjacent
l,1,l,2053,21,10.3,12,adjacent
k,0,l,2411,21,10.3,13,adjacent
l,1,l,779,21,10.3,18,adjacent
k,0,l,709,21,10.3,17,adjacent
k,0,l,2697,21,10.3,2,non-adjacent
k,0,l,1092,21,10.3,8,non-adjacent
l,1,l,1169,21,10.3,7,non-adjacent
k,0,l,1219,21,10.3,15,adjacent
k,0,l,2235,21,10.3,11,adjacent
l,1,l,9162,21,10.3,3,non-adjacent
l,1,l,734,21,10.3,9,non-adjacent
l,1,l,1145,21,10.3,1,non-adjacent
l,1,l,828,21,10.3,20,adjacent
k,0,l,764,21,10.3,4,non-adjacent
k,0,l,14318,21,10.3,19,adjacent
k,0,l,12734,21,10.3,6,non-adjacent
l,1,l,935,21,10.3,14,adjacent
l,1,l,6550,23,10.3,3,non-adjacent
k,1,k,2329,23,10.3,11,adjacent
l,0,k,16625,23,10.3,5,non-adjacent
k,1,k,878,23,10.3,10,non-adjacent
l,1,l,104,23,10.3,18,adjacent
k,1,k,863,23,10.3,6,non-adjacent
l,1,l,202,23,10.3,20,adjacent
l,1,l,1091,23,10.3,14,adjacent
k,1,k,2294,23,10.3,19,adjacent
l,1,l,3450,23,10.3,1,non-adjacent
l,0,k,1018,23,10.3,9,non-adjacent
k,1,k,565,23,10.3,15,adjacent
l,0,k,578,23,10.3,16,adjacent
l,0,k,756,23,10.3,7,non-adjacent
k,1,k,2207,23,10.3,17,adjacent
k,1,k,442,23,10.3,8,non-adjacent
l,1,l,517,23,10.3,12,adjacent
k,0,l,592,23,10.3,4,non-adjacent
k,1,k,1896,23,10.3,2,non-adjacent
k,1,k,582,23,10.3,13,adjacent
k,0,l,3426,25,10.3,19,adjacent
l,1,l,1033,25,10.3,3,non-adjacent
k,0,l,6025,25,10.3,6,non-adjacent
k,0,l,2059,25,10.3,4,non-adjacent
l,1,l,2102,25,10.3,18,adjacent
k,1,k,5023,25,10.3,8,non-adjacent
k,1,k,2328,25,10.3,11,adjacent
l,1,l,306,25,10.3,20,adjacent
l,1,l,2372,25,10.3,12,adjacent
l,1,l,1786,25,10.3,1,non-adjacent
k,0,l,2304,25,10.3,15,adjacent
k,0,l,778,25,10.3,2,non-adjacent
k,1,k,932,25,10.3,13,adjacent
k,0,l,866,25,10.3,17,adjacent
l,1,l,1021,25,10.3,16,adjacent
k,0,l,691,25,10.3,10,non-adjacent
l,1,l,2693,25,10.3,7,non-adjacent
l,1,l,1877,25,10.3,9,non-adjacent
l,1,l,1794,25,10.3,5,non-adjacent
l,1,l,1758,25,10.3,14,adjacent
l,1,l,666,27,10.3,12,adjacent
k,1,k,382,27,10.3,15,adjacent
k,1,k,428,27,10.3,4,non-adjacent
k,0,l,434,27,10.3,17,adjacent
k,1,k,567,27,10.3,6,non-adjacent
k,0,l,846,27,10.3,2,non-adjacent
l,0,k,823,27,10.3,5,non-adjacent
k,0,l,460,27,10.3,8,non-adjacent
l,0,k,1154,27,10.3,18,adjacent
k,0,l,443,27,10.3,10,non-adjacent
