subj,expected,acc,given,rt,condition,dependency,item
1,k,1,k,3584,1,nonadjacent,6
1,k,1,k,5946,1,adjacent,17
1,l,0,k,1434,1,adjacent,12
1,k,1,k,2896,1,nonadjacent,4
1,l,0,k,792,1,nonadjacent,1
1,l,0,k,3077,1,nonadjacent,7
1,l,0,k,2945,1,adjacent,18
1,k,0,l,348,1,adjacent,15
1,k,0,l,1009,1,nonadjacent,2
1,k,1,k,1299,1,adjacent,11
1,l,0,k,1503,1,adjacent,16
1,k,1,k,324,1,adjacent,13
1,k,1,k,551,1,nonadjacent,8
1,k,0,l,2485,1,nonadjacent,10
1,l,0,k,1380,1,adjacent,14
1,l,0,k,5637,1,nonadjacent,3
1,l,0,k,2576,1,nonadjacent,5
1,k,1,k,143,1,adjacent,19
1,l,0,k,3116,1,adjacent,20
1,l,0,k,1429,1,nonadjacent,9
2,l,1,L,3689,1,nonadjacent,7
2,l,1,L,511,1,adjacent,14
2,k,0,L,595,1,adjacent,11
2,k,0,L,607,1,nonadjacent,8
2,l,0,K,978,1,nonadjacent,9
2,l,0,K,2988,1,adjacent,20
2,k,1,K,546,1,nonadjacent,10
2,k,0,L,1806,1,adjacent,13
2,l,1,L,4690,1,adjacent,18
2,k,1,K,888,1,nonadjacent,6
2,k,0,L,819,1,adjacent,17
2,k,1,K,509,1,adjacent,15
2,l,0,K,327,1,nonadjacent,3
2,l,1,L,2350,1,adjacent,12
2,l,1,L,1757,1,adjacent,16
2,k,0,L,1807,1,nonadjacent,2
2,k,1,K,1743,1,adjacent,19
2,l,1,L,419,1,nonadjacent,5
2,k,1,K,3389,1,nonadjacent,4
2,l,1,L,2086,1,nonadjacent,1
3,k,1,k,960,1,adjacent,13
3,l,0,k,806,1,nonadjacent,1
3,l,1,l,752,1,nonadjacent,3
3,l,0,k,15,1,adjacent,12
3,l,1,l,240,1,nonadjacent,7
3,l,0,k,180,1,nonadjacent,5
3,l,1,l,990,1,nonadjacent,9
3,k,1,k,365,1,adjacent,17
3,l,1,l,591,1,adjacent,16
3,l,0,k,472,1,adjacent,14
3,k,0,l,1519,1,adjacent,15
3,k,1,k,1074,1,nonadjacent,4
3,k,0,l,885,1,nonadjacent,6
3,k,1,k,631,1,adjacent,19
3,k,0,l,213,1,nonadjacent,2
3,k,1,k,300,1,adjacent,11
3,l,1,l,9,1,adjacent,18
3,k,1,k,496,1,nonadjacent,10
3,k,1,k,749,1,nonadjacent,8
3,l,1,l,474,1,adjacent,20
4,k,1,K,8306,1,adjacent,19
4,k,1,K,10895,1,adjacent,11
4,k,0,L,5925,1,nonadjacent,6
4,l,0,K,2683,1,nonadjacent,1
4,l,0,K,1564,1,nonadjacent,7
4,k,0,L,2940,1,nonadjacent,2
4,k,1,K,414,1,nonadjacent,4
4,l,0,K,2069,1,adjacent,20
4,k,1,K,5487,1,nonadjacent,8
4,l,0,K,4597,1,adjacent,12
4,l,1,L,1470,1,adjacent,14
4,l,0,K,484,1,nonadjacent,5
4,l,0,K,3744,1,adjacent,16
4,l,0,K,1591,1,nonadjacent,3
4,k,0,L,2618,1,adjacent,15
4,l,0,K,3004,1,adjacent,18
4,k,1,K,1155,1,adjacent,17
4,l,1,L,1481,1,nonadjacent,9
4,k,1,K,2038,1,adjacent,13
4,k,1,K,3832,1,nonadjacent,10
5,l,0,K,18871,1,nonadjacent,3
5,l,1,L,14825,1,adjacent,16
5,l,0,K,1191,1,adjacent,14
5,k,1,K,1147,1,adjacent,15
5,k,1,K,1215,1,nonadjacent,4
5,l,1,L,7717,1,nonadjacent,1
5,l,0,K,994,1,nonadjacent,9
5,l,0,K,891,1,adjacent,18
5,l,0,K,1290,1,adjacent,20
5,k,0,L,1483,1,nonadjacent,8
5,l,1,L,2083,1,nonadjacent,7
5,k,1,K,850,1,adjacent,17
5,k,1,K,1117,1,adjacent,13
5,k,1,K,1634,1,nonadjacent,6
5,k,1,K,874,1,nonadjacent,2
5,l,0,K,297,1,adjacent,12
5,k,1,K,1075,1,nonadjacent,10
5,k,1,K,1327,1,adjacent,11
5,k,0,L,412,1,adjacent,19
5,l,0,K,273,1,nonadjacent,5
6,l,1,l,2416,1,adjacent,16
6,k,0,l,928,1,adjacent,11
6,k,1,k,799,1,adjacent,15
6,k,0,l,473,1,nonadjacent,6
6,k,1,k,721,1,adjacent,19
6,l,1,l,453,1,adjacent,18
6,k,0,l,572,1,adjacent,13
6,k,1,k,372,1,nonadjacent,10
6,l,0,k,631,1,nonadjacent,5
6,l,1,l,1271,1,nonadjacent,9
6,l,0,k,895,1,nonadjacent,1
6,l,1,l,313,1,nonadjacent,3
6,k,1,k,319,1,nonadjacent,4
6,k,1,k,610,1,nonadjacent,8
6,k,0,l,1187,1,nonadjacent,2
6,l,0,k,310,1,nonadjacent,7
6,l,1,l,1401,1,adjacent,14
6,k,0,l,574,1,adjacent,17
6,l,0,k,338,1,adjacent,20
6,l,1,l,270,1,adjacent,12
7,l,1,L,2058,1,nonadjacent,7
7,k,0,L,752,1,nonadjacent,10
7,k,0,L,1017,1,adjacent,13
7,l,1,L,1711,1,adjacent,18
7,l,1,L,5093,1,nonadjacent,5
7,l,0,K,1223,1,adjacent,14
7,k,0,L,1125,1,adjacent,19
7,l,0,K,5462,1,nonadjacent,9
7,k,0,L,483,1,adjacent,17
7,k,0,L,3349,1,nonadjacent,6
7,k,1,K,1233,1,nonadjacent,2
7,k,0,L,781,1,nonadjacent,4
7,l,0,K,1006,1,adjacent,16
7,k,0,L,652,1,adjacent,15
7,l,0,K,656,1,nonadjacent,1
7,k,0,L,895,1,adjacent,11
7,l,1,L,794,1,adjacent,20
7,l,1,L,2208,1,nonadjacent,3
7,k,1,K,602,1,nonadjacent,8
7,l,1,L,654,1,adjacent,12
8,k,1,k,5373,1,nonadjacent,6
8,k,1,k,695,1,nonadjacent,10
8,l,0,k,424,1,adjacent,20
8,l,0,k,382,1,nonadjacent,9
8,k,1,k,620,1,adjacent,15
8,l,0,k,564,1,adjacent,12
8,k,1,k,532,1,adjacent,13
8,k,1,k,522,1,adjacent,17
8,l,0,k,444,1,adjacent,14
8,l,0,k,617,1,nonadjacent,3
8,l,0,k,540,1,nonadjacent,1
8,k,1,k,522,1,adjacent,19
8,l,0,k,513,1,adjacent,16
8,k,1,k,905,1,adjacent,11
8,l,0,k,1087,1,nonadjacent,7
8,k,1,k,318,1,nonadjacent,2
8,k,1,k,243,1,nonadjacent,8
8,l,0,k,969,1,adjacent,18
8,k,1,k,516,1,nonadjacent,4
8,l,0,k,359,1,nonadjacent,5
9,k,1,k,7642,1,nonadjacent,4
